document_order,depth,node_type,node_id,original_id,node_title,source_path,level_1_type,level_1_id,level_1_title,level_2_type,level_2_id,level_2_title,level_3_type,level_3_id,level_3_title,level_4_type,level_4_id,level_4_title,level_5_type,level_5_id,level_5_title,level_6_type,level_6_id,level_6_title,level_7_type,level_7_id,level_7_title
19,5,subsection,ORCCAkofZRw0ZHU,,Introduction to Variables,section-variables-and-evaluating-expressions.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,part,ORCCA1iDVJ49ncn,Linear Equations and Lines,chapter,ORCCA3jwFP72RXL,"Variables, Expressions, Equations, and Inequalities",section,ORCCAktdhZHIlkt,Variables and Evaluating Expressions,subsection,ORCCAkofZRw0ZHU,Introduction to Variables,,,,,,
20,6,introduction,ORCCA2VwfGAy8lx,,Introduction,section-variables-and-evaluating-expressions.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,part,ORCCA1iDVJ49ncn,Linear Equations and Lines,chapter,ORCCA3jwFP72RXL,"Variables, Expressions, Equations, and Inequalities",section,ORCCAktdhZHIlkt,Variables and Evaluating Expressions,subsection,ORCCAkofZRw0ZHU,Introduction to Variables,introduction,ORCCA2VwfGAy8lx,Introduction,,,
21,5,subsection,ORCCAfMrJZ2VNwx,,Algebraic Expressions,section-variables-and-evaluating-expressions.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,part,ORCCA1iDVJ49ncn,Linear Equations and Lines,chapter,ORCCA3jwFP72RXL,"Variables, Expressions, Equations, and Inequalities",section,ORCCAktdhZHIlkt,Variables and Evaluating Expressions,subsection,ORCCAfMrJZ2VNwx,Algebraic Expressions,,,,,,
22,6,introduction,ORCCAbYy8XZr74u,,Introduction,section-variables-and-evaluating-expressions.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,part,ORCCA1iDVJ49ncn,Linear Equations and Lines,chapter,ORCCA3jwFP72RXL,"Variables, Expressions, Equations, and Inequalities",section,ORCCAktdhZHIlkt,Variables and Evaluating Expressions,subsection,ORCCAfMrJZ2VNwx,Algebraic Expressions,introduction,ORCCAbYy8XZr74u,Introduction,,,
23,6,introduction,ORCCANrVCuJXHqv,,Introduction,section-variables-and-evaluating-expressions.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,part,ORCCA1iDVJ49ncn,Linear Equations and Lines,chapter,ORCCA3jwFP72RXL,"Variables, Expressions, Equations, and Inequalities",section,ORCCAktdhZHIlkt,Variables and Evaluating Expressions,subsection,ORCCAfMrJZ2VNwx,Algebraic Expressions,introduction,ORCCANrVCuJXHqv,Introduction,,,
24,6,introduction,ORCCAMEaicOofyo,,Introduction,section-variables-and-evaluating-expressions.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,part,ORCCA1iDVJ49ncn,Linear Equations and Lines,chapter,ORCCA3jwFP72RXL,"Variables, Expressions, Equations, and Inequalities",section,ORCCAktdhZHIlkt,Variables and Evaluating Expressions,subsection,ORCCAfMrJZ2VNwx,Algebraic Expressions,introduction,ORCCAMEaicOofyo,Introduction,,,
25,5,subsection,ORCCARufAXcVDsg,,"Evaluating Expressions with Exponents, Absolute Value, and Radicals",section-variables-and-evaluating-expressions.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,part,ORCCA1iDVJ49ncn,Linear Equations and Lines,chapter,ORCCA3jwFP72RXL,"Variables, Expressions, Equations, and Inequalities",section,ORCCAktdhZHIlkt,Variables and Evaluating Expressions,subsection,ORCCARufAXcVDsg,"Evaluating Expressions with Exponents, Absolute Value, and Radicals",,,,,,
26,6,introduction,ORCCAT53X8iGmk2,,Introduction,section-variables-and-evaluating-expressions.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,part,ORCCA1iDVJ49ncn,Linear Equations and Lines,chapter,ORCCA3jwFP72RXL,"Variables, Expressions, Equations, and Inequalities",section,ORCCAktdhZHIlkt,Variables and Evaluating Expressions,subsection,ORCCARufAXcVDsg,"Evaluating Expressions with Exponents, Absolute Value, and Radicals",introduction,ORCCAT53X8iGmk2,Introduction,,,
27,5,subsection,ORCCACoJ0F9rl0I,subsection-evaluating-expressions-with-negative-numbers,Evaluating Expressions with Negative Numbers,section-variables-and-evaluating-expressions.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,part,ORCCA1iDVJ49ncn,Linear Equations and Lines,chapter,ORCCA3jwFP72RXL,"Variables, Expressions, Equations, and Inequalities",section,ORCCAktdhZHIlkt,Variables and Evaluating Expressions,subsection,ORCCACoJ0F9rl0I,Evaluating Expressions with Negative Numbers,,,,,,
28,6,introduction,ORCCAZGsgLyP0yh,,Introduction,section-variables-and-evaluating-expressions.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,part,ORCCA1iDVJ49ncn,Linear Equations and Lines,chapter,ORCCA3jwFP72RXL,"Variables, Expressions, Equations, and Inequalities",section,ORCCAktdhZHIlkt,Variables and Evaluating Expressions,subsection,ORCCACoJ0F9rl0I,Evaluating Expressions with Negative Numbers,introduction,ORCCAZGsgLyP0yh,Introduction,,,
